UID,제품타입,공기온도_K,공정온도_K,회전속도_rpm,토크_Nm,공구마모_min,고장여부
1,H,300.4,309.9,1503,42.0,228,0
2,H,300.7,310.7,1460,51.1,103,0
3,M,301.1,312.6,1190,37.8,137,0
4,L,301.4,311.5,1815,15.8,107,0
5,L,297.8,308.6,1873,36.2,115,0
6,L,300.1,310.8,1476,63.3,66,0
7,L,300.5,311.4,1617,46.3,120,0
8,L,299.4,309.4,1357,46.4,49,0
9,H,302.1,311.6,1432,41.1,107,0
10,L,302.4,313.0,1874,46.5,142,0
11,L,301.5,313.3,1524,39.5,241,0
12,M,300.5,309.9,1577,45.3,81,0
13,M,300.4,309.2,1274,44.6,34,0
14,L,297.9,308.5,1473,31.8,153,0
15,L,299.3,308.6,1580,33.9,233,0
16,M,299.3,310.4,1846,34.8,5,0
17,L,297.9,308.8,1749,30.4,237,1
18,M,298.1,308.5,1294,61.6,12,0
19,L,303.2,313.9,1253,41.0,90,0
20,L,300.5,311.8,1639,19.5,21,0
21,H,298.7,309.2,1935,44.3,243,0
22,L,298.9,309.7,1625,49.0,15,0
23,M,297.5,309.3,1233,23.7,32,0
24,H,301.6,311.5,1602,60.7,190,0
25,M,298.7,309.6,1471,58.9,35,0
26,M,297.2,307.2,1636,30.3,38,0
27,L,297.6,306.8,1525,44.2,125,0
28,L,299.4,309.2,1464,47.2,58,0
29,L,302.5,312.6,1317,29.8,150,0
30,L,298.0,308.0,1540,51.9,151,0
31,L,299.0,308.5,1426,40.6,241,0
32,H,300.9,309.9,1622,47.4,23,0
33,L,300.0,310.8,1316,27.9,99,0
34,L,298.6,308.3,1530,50.0,163,0
35,H,298.6,307.5,1494,49.2,11,0
36,M,300.1,310.4,1213,48.5,27,0
37,M,299.9,311.0,1713,20.4,177,0
38,M,302.2,312.4,1689,47.1,181,0
39,L,299.0,308.8,2029,36.9,128,0
40,H,299.1,307.6,1849,20.1,133,0
41,L,300.8,311.1,1707,31.1,44,0
42,H,298.8,309.0,1300,45.5,192,0
43,M,300.9,310.2,1443,45.7,43,0
44,H,301.7,312.2,1587,40.1,155,0
45,L,301.8,311.4,1753,26.5,4,0
46,L,299.4,311.4,1516,42.8,93,1
47,M,299.1,309.9,1450,25.4,230,0
48,M,298.7,307.2,1183,44.5,214,0
49,L,295.9,305.0,1222,36.4,159,0
50,L,297.7,309.1,1577,40.2,35,0
51,M,297.4,307.1,1717,43.1,200,0
52,L,300.4,310.5,1369,57.8,160,0
53,M,297.7,308.4,1857,46.0,184,1
54,L,300.3,308.1,1793,42.8,125,0
55,L,301.3,312.9,1587,32.7,137,0
56,L,303.4,314.1,1588,54.7,56,0
57,M,303.2,313.9,1577,48.4,195,0
58,H,300.4,311.2,1514,41.9,56,0
59,H,299.8,311.0,1429,44.1,198,0
60,M,301.4,310.1,1682,53.5,194,0
61,L,302.5,312.1,1640,34.4,194,0
62,M,302.0,311.5,1015,45.3,39,0
63,M,302.0,310.8,1522,54.9,40,0
64,M,299.4,308.4,1354,53.4,132,0
65,L,300.9,309.8,1409,41.4,19,0
66,L,299.5,310.4,1794,37.2,57,0
67,H,295.9,305.9,1624,62.2,220,0
68,H,300.1,309.0,1769,54.8,50,0
69,M,302.5,314.3,1477,34.4,31,0
70,H,297.9,307.3,1567,48.6,73,0
71,L,297.7,309.1,1208,29.6,167,0
72,L,300.6,311.1,1562,35.4,142,0
73,M,298.3,308.5,1462,63.4,110,0
74,L,301.4,311.2,1333,48.1,112,0
75,L,302.0,310.7,1794,45.3,225,0
76,M,296.2,304.8,1561,44.1,58,0
77,H,297.1,304.8,1491,42.1,240,1
78,H,301.6,311.7,1420,62.8,202,1
79,L,297.9,308.1,1556,29.4,102,0
80,L,296.5,306.7,1608,41.1,24,0
81,M,299.3,309.5,1761,35.6,240,0
82,L,299.5,309.8,1597,29.6,79,0
83,H,302.0,311.7,1498,41.1,234,0
84,L,300.2,309.8,1237,26.6,230,0
85,H,300.1,311.7,1444,59.4,73,0
86,L,300.7,311.6,1329,37.5,81,0
87,H,299.8,308.6,1378,34.2,22,0
88,H,298.3,308.2,1340,40.7,123,0
89,L,299.7,310.3,1365,36.0,184,0
90,M,300.1,310.1,1325,28.5,24,0
91,H,301.7,310.8,1414,52.0,54,0
92,L,298.4,306.9,1800,41.7,34,0
93,L,300.0,310.8,1574,29.3,210,0
94,L,303.9,313.9,1517,25.9,30,0
95,H,299.0,308.5,1476,51.8,59,0
96,L,300.5,310.8,1735,57.5,4,0
97,H,299.6,309.8,1883,29.8,37,0
98,L,300.0,311.1,1452,45.7,80,0
99,L,298.9,308.2,1533,46.2,68,0
100,L,301.7,312.3,1240,33.4,177,0
101,L,300.7,311.0,1807,47.9,208,0
102,H,302.2,313.2,1575,28.8,228,0
103,L,297.9,306.8,1628,47.8,122,0
104,L,299.4,310.1,1558,29.2,170,0
105,L,301.7,310.3,1830,30.5,134,0
106,H,299.8,309.3,1280,44.2,157,0
107,H,299.0,309.1,1491,46.4,219,0
108,M,296.7,307.0,1546,31.5,196,0
109,H,301.2,312.8,1291,45.4,234,0
110,L,300.6,309.7,1510,45.3,94,0
111,L,301.2,310.6,1498,54.7,91,0
112,H,298.5,307.0,1633,22.7,31,0
113,M,301.2,311.3,1396,37.9,22,0
114,M,300.2,309.9,1514,17.9,13,0
115,M,299.3,311.4,1011,47.5,248,0
116,M,298.8,309.9,1710,39.5,67,0
117,H,297.7,307.5,1879,50.6,141,0
118,M,297.9,309.8,1408,33.2,119,0
119,L,299.6,310.4,1540,31.0,153,0
120,L,300.0,310.9,1662,37.2,115,0
121,M,303.3,312.2,1505,37.0,110,0
122,M,300.1,310.8,1669,40.3,6,0
123,L,301.1,311.8,1489,32.9,178,0
124,L,303.0,313.1,1708,34.8,217,0
125,M,297.7,307.1,1070,43.7,243,0
126,H,298.3,309.9,1423,37.0,144,0
127,L,298.8,305.7,1850,58.8,209,0
128,M,302.7,311.7,1550,42.4,249,0
129,L,299.2,309.8,1100,54.8,120,0
130,M,298.8,308.4,1727,41.1,180,0
131,L,300.7,310.4,1635,37.3,58,0
132,L,301.3,313.1,1432,44.6,7,0
133,L,297.2,306.2,1615,34.5,229,0
134,L,299.3,309.8,1522,56.6,125,0
135,L,301.2,312.5,1800,48.3,141,0
136,H,299.7,311.2,1567,34.4,246,0
137,H,301.0,311.5,1147,35.4,126,0
138,H,300.4,309.0,1579,58.6,0,0
139,L,297.2,307.6,1294,22.5,237,0
140,L,297.6,306.4,1606,46.9,78,0
141,H,301.7,312.0,1459,54.0,247,0
142,M,297.3,308.2,1441,57.3,98,0
143,L,300.2,311.0,1811,51.7,37,0
144,H,299.4,309.6,1705,56.1,0,0
145,M,301.0,311.5,1701,43.2,59,0
146,L,297.6,308.9,1545,38.6,102,0
147,L,303.4,312.7,1793,30.5,85,0
148,L,299.1,310.4,1677,42.4,10,0
149,M,302.5,311.7,1438,22.5,80,0
150,M,302.3,310.4,1568,40.9,150,0
151,M,299.7,310.9,1392,27.9,208,0
152,L,299.2,308.3,1192,37.8,128,0
153,L,300.2,310.4,1452,36.5,76,0
154,M,302.3,311.1,1325,64.7,183,1
155,M,300.0,309.0,1948,36.4,71,0
156,L,298.9,308.9,1534,55.6,17,0
157,L,300.2,310.6,1464,32.9,82,0
158,H,300.3,311.4,1497,39.9,106,0
159,L,302.9,311.8,1399,27.5,126,0
160,M,299.6,310.3,1422,39.5,9,0
161,M,301.7,311.6,1443,20.1,37,0
162,L,298.5,306.7,1591,32.5,4,0
163,L,297.1,306.8,1506,58.3,192,0
164,M,298.6,308.5,1515,63.0,149,0
165,L,301.7,311.1,1565,49.3,21,0
166,H,300.8,310.2,1494,39.7,133,0
167,M,299.4,309.1,1350,43.1,149,0
168,H,299.7,307.5,1337,42.1,49,0
169,L,302.8,312.6,1694,28.6,219,0
170,L,301.4,312.3,1665,49.6,165,0
171,M,297.7,306.0,1293,33.0,26,0
172,H,299.9,309.8,1512,44.4,171,0
173,H,300.9,310.7,1923,39.2,76,0
174,L,300.0,311.8,1693,51.1,169,0
175,L,296.4,305.8,1348,35.9,57,0
176,M,297.9,309.6,1449,41.8,13,0
177,L,301.3,310.4,1437,35.3,236,1
178,L,297.2,307.9,1723,38.8,217,0
179,M,298.9,308.2,1470,26.4,49,0
180,L,300.4,310.2,1889,36.8,29,0
181,L,300.2,310.5,1242,22.3,106,0
182,L,299.9,310.1,1525,72.5,228,0
183,H,301.0,312.4,1350,32.4,231,1
184,L,300.9,310.9,1378,40.3,46,0
185,L,294.6,304.2,1487,26.0,114,0
186,M,298.6,307.9,1310,56.5,120,0
187,M,298.9,308.0,1325,54.1,100,0
188,H,299.8,309.8,1472,46.6,182,0
189,M,297.5,307.0,1672,55.1,123,1
190,L,298.1,307.8,1348,48.0,144,0
191,L,301.7,310.8,1794,36.5,38,0
192,H,298.5,309.1,1425,27.3,61,0
193,M,300.7,309.4,1699,36.3,134,0
194,L,299.2,308.9,1497,42.6,180,0
195,L,299.1,309.4,1441,55.0,150,0
196,L,299.3,309.8,1417,24.1,26,0
197,H,300.6,310.1,1502,57.7,238,1
198,H,300.3,310.0,1711,45.2,200,0
199,L,298.0,308.2,1849,39.7,215,0
200,L,299.5,310.8,1692,47.5,6,0
201,L,296.9,307.1,1442,29.2,226,0
202,L,299.3,310.2,1369,34.9,54,0
203,L,300.2,308.4,1449,40.8,128,0
204,L,301.1,312.6,1701,41.8,85,0
205,L,300.8,310.1,1490,45.9,182,0
