측정시각,sensor_01,sensor_02,sensor_03,sensor_04,sensor_05,sensor_06,sensor_07,sensor_08,sensor_09,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_16,sensor_17,sensor_18,sensor_19,sensor_20,판정
2022-01-05 08:00,42.89,284.62,,274.1,44.26,,24.69,65.21,861.92,71.71,,51.83,60.73,,329.13,,860.2,859.95,100.56,,-1
2022-01-05 08:04,100.0,290.66,319.9,277.68,,75.7,24.67,68.07,859.75,72.29,55.36,50.02,60.88,329.41,329.01,99.67,860.28,,100.49,860.14,-1
2022-01-05 08:08,100.0,294.15,321.08,281.49,45.36,72.49,24.79,67.77,853.98,70.11,55.24,50.78,61.02,329.42,329.02,99.76,860.18,859.99,100.32,860.1,1
2022-01-05 08:12,54.73,295.26,322.13,285.05,46.9,71.84,24.54,67.47,857.67,70.82,55.09,50.86,61.22,329.5,329.04,99.96,859.76,859.95,100.34,860.05,-1
2022-01-05 08:16,58.6,294.5,323.44,287.58,47.78,,23.39,65.94,861.05,,54.86,51.06,61.38,329.46,329.12,100.17,859.65,859.84,100.37,860.13,-1
2022-01-05 08:20,100.0,292.4,324.42,288.72,45.13,,23.27,67.67,855.02,73.06,55.13,49.86,61.5,329.5,329.03,100.36,,,100.44,860.02,-1
2022-01-05 08:24,61.3,289.44,325.4,288.51,46.09,,21.64,67.24,857.58,69.25,54.89,,61.57,329.52,329.05,100.07,859.99,860.45,100.33,859.92,-1
2022-01-05 08:28,85.73,285.8,326.39,287.12,,71.0,21.18,67.94,858.55,70.48,,51.3,61.76,329.48,329.01,99.83,859.77,,100.16,859.88,-1
2022-01-05 08:32,71.56,282.16,327.26,285.08,46.25,72.87,21.18,68.7,859.24,72.14,55.06,50.17,61.9,329.44,,99.78,859.9,,100.06,859.96,-1
2022-01-05 08:36,53.17,278.14,328.13,282.34,48.5,73.41,22.5,65.11,860.75,72.86,,,62.04,,329.17,99.74,,859.82,99.95,859.91,-1
2022-01-05 08:40,91.45,274.18,328.99,279.36,,71.83,24.62,72.5,858.77,71.5,54.76,,62.23,329.48,328.76,99.93,859.81,860.08,99.9,859.87,-1
2022-01-05 08:44,54.41,270.76,329.84,276.2,48.01,,25.84,67.81,860.41,71.78,,,62.42,329.43,329.02,99.97,860.02,,99.87,860.01,-1
2022-01-05 08:48,74.1,269.0,330.66,273.15,46.23,,23.35,68.51,860.81,69.88,54.98,49.78,62.51,329.45,328.98,100.02,,,99.86,860.16,-1
2022-01-05 08:52,34.65,269.76,331.49,,,75.94,24.57,68.08,861.7,70.9,54.74,51.32,62.66,329.48,329.0,100.11,860.5,,99.95,860.12,-1
2022-01-05 08:56,100.0,273.1,332.37,269.22,43.86,74.13,23.39,66.55,,,54.51,51.89,62.87,329.5,329.09,99.9,,860.17,99.98,860.01,-1
2022-01-05 09:00,75.4,278.75,333.26,269.36,45.21,,24.03,68.45,858.68,72.06,54.36,,62.91,329.46,328.98,99.8,,860.0,99.95,859.78,-1
2022-01-05 09:04,75.63,285.59,334.06,270.89,,71.9,23.0,66.32,858.93,73.59,54.96,52.94,63.09,329.45,329.1,100.05,859.54,859.56,99.95,859.84,-1
2022-01-05 09:08,63.23,291.4,334.94,273.46,46.75,72.77,23.97,66.16,860.07,71.5,,52.62,63.24,329.46,329.11,100.07,859.86,859.82,99.97,859.79,-1
2022-01-05 09:12,77.69,294.75,335.81,276.78,45.22,,24.75,67.19,859.33,71.45,,49.92,63.32,329.46,329.05,100.09,,859.76,100.11,860.11,-1
2022-01-05 09:16,78.02,295.6,336.53,280.44,44.36,72.3,24.71,67.26,859.08,70.95,54.91,51.31,63.55,329.4,329.05,99.83,860.18,,100.03,860.11,-1
2022-01-05 09:20,43.5,294.66,337.32,284.02,44.8,74.21,23.66,68.66,861.88,70.73,,,63.66,329.38,329.03,99.82,,860.43,100.05,860.09,-1
2022-01-05 09:24,92.03,292.39,338.04,286.75,,,22.55,70.06,859.0,72.16,55.8,,63.77,329.36,328.9,99.93,860.16,860.17,100.06,860.02,-1
2022-01-05 09:28,82.85,289.43,338.81,288.06,44.47,73.03,22.57,69.39,858.62,,55.5,51.67,63.38,329.4,328.93,100.03,860.21,860.02,100.1,859.94,-1
2022-01-05 09:32,64.26,,339.53,288.11,43.83,,21.86,69.56,860.97,70.67,55.58,53.63,63.13,329.38,328.92,100.14,860.14,,100.09,859.8,-1
2022-01-05 09:36,95.71,282.08,340.24,286.94,45.03,71.42,21.34,66.54,859.14,71.86,55.78,52.21,62.92,329.37,,100.3,859.86,859.75,100.13,859.79,-1
2022-01-05 09:40,70.47,278.22,341.07,285.1,44.62,,21.89,66.71,859.38,70.8,56.33,51.73,63.39,329.36,329.08,100.22,859.79,859.86,100.18,859.84,-1
2022-01-05 09:44,48.33,274.04,341.66,282.34,45.79,76.48,22.29,66.87,861.87,73.3,56.42,52.73,63.32,329.29,329.07,99.91,859.72,859.92,100.11,859.89,-1
2022-01-05 09:48,100.0,270.66,341.64,279.52,45.84,75.56,23.05,67.14,857.24,74.3,,51.63,63.42,329.4,329.06,99.76,859.82,859.96,100.03,860.06,-1
2022-01-05 09:52,82.0,269.06,341.08,276.51,48.39,,22.9,66.11,857.42,69.76,56.04,51.52,63.47,329.34,329.11,,859.7,860.27,100.08,860.18,-1
2022-01-05 09:56,62.31,269.84,340.46,273.56,49.71,,20.65,67.48,860.33,70.88,55.6,,63.52,329.38,329.04,100.73,859.31,,100.26,860.23,-1
2022-01-05 10:00,49.6,273.33,339.66,271.1,,,17.55,65.45,861.44,72.05,,52.05,63.7,329.37,329.15,100.41,859.42,859.99,100.38,860.16,-1
2022-01-05 10:04,98.53,278.86,338.93,269.7,47.45,70.93,20.74,66.35,857.77,70.78,55.06,,63.83,329.39,,99.86,859.8,859.94,100.19,860.41,-1
2022-01-05 10:08,74.86,285.7,338.27,269.83,,72.24,17.83,66.39,859.19,,55.03,,63.89,329.39,329.1,99.8,860.42,860.37,100.13,860.59,-1
2022-01-05 10:12,73.3,291.55,337.6,271.35,45.03,,21.26,67.76,860.04,71.21,55.11,,63.89,329.43,329.02,,860.33,,100.0,860.32,-1
2022-01-05 10:16,83.26,295.02,336.92,273.98,43.58,72.4,20.09,66.73,858.99,71.24,55.19,49.9,64.06,329.43,329.08,,,859.98,99.88,860.14,-1
2022-01-05 10:20,54.62,295.98,336.3,277.16,,,22.86,64.8,861.27,71.23,,50.62,64.18,329.48,329.18,99.84,860.31,859.71,99.8,859.99,-1
